id;wkt_a;wkt_b;real_result_polygon_count;real_result_area;epeck_result_polygon_count;epeck_result_area;bg_polygon_count;bg_area;real_error_area;epeck_error_area;status
case_72_intersection; POLYGON((0 3,4 4,3 0,3 3,2 1,1 2,3 3,0 3)); POLYGON((0 0,1 4,3 3,4 1,0 0)); -1; -1; -1; -1; -1; -1; -1; -1; CGAL ERROR: precondition violation!Expr: is_valid_unknown_polygon(p, t)File: /usr/include/CGAL/General_polygon_set_on_surface_2.hLine: 40
case_79_intersection; POLYGON((0 0,0 5,5 5,5 3,2 3,2 2,5 2,5 0,0 0)); POLYGON((0 0,0 5,5 5,5 0,2 0,2 2,1 2,1 0,0 0)); 1; 20.; 1; 20; 2; 20; 0; 0; OK
case_80_intersection; POLYGON((0 5,5 10,10 5,5 0,0 5),(10 5,4 6,5 4,10 5)); POLYGON((10 0,10 10,20 10,20 0,10 0),(10 5,15 3,18 8,10 5)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_81_intersection; POLYGON((0 0,0 10,10 10,10 0,0 0),(10 4,2 7,5 1,10 4)); POLYGON((10 0,10 10,20 10,20 0,10 0),(10 6,15 3,18 8,10 6)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_82_intersection; POLYGON((4 4,4 3,1 3,1 2,0 2,0 6,1 6,2 5,2 4,4 4),(2 4,1 4,1.5 3.5,2 4)); POLYGON((3 6,3 5,5 5,5 0,4 0,4 1,2 1,2 3,2 4,1 3,1 5,2 6,3 6),(3 3,3 2,4 2,4 4,2 4,3 3)); 1; 2.; 1; 2; 3; 2; 0; 0; OK
case_83_intersection; POLYGON((2 4,2 2,0 2,0 6,2 4),(2 4,1 4,1.5 3.5,2 4)); POLYGON((5 6,5 0,2 4,1 3,0 6,5 6)); 1; 1.75000; 1; 1.75; 1; 1.75; 0; 0; OK
case_90_intersection; POLYGON((0 6,-11 -6,6 0,0 6),(3 1,5 0,-2 0,3 1)); POLYGON((5 4,6 0,9 12,-7 -12,5 -19,5 4)); 1; 10.1312; 1; 10.1312; 2; 10.1312; 0; 4.72258e-16; OK
case_91_intersection; POLYGON((0 0,10 10,20 0,0 0)); POLYGON((10 5,30 10,20 0,20 5,10 5)); 1; 2.50000; 1; 2.5; 1; 2.5; 0; 0; OK
case_92_intersection; POLYGON((0 0,10 10,20 0,0 0)); POLYGON((10 10,30 10,20 0,20 5,10 10)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_93_intersection; POLYGON((0 0,10 10,20 0,0 0)); POLYGON((10 5,20 7,10 10,30 10,20 0,20 5,10 5)); 1; 2.08333; 1; 2.08333; 1; 2.08333; 0; 1.4803e-15; OK
case_94_intersection; POLYGON((0 0,10 10,20 0,0 0)); POLYGON((15 5,20 7,10 10,30 10,20 0,20 5,15 5)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_95_intersection; POLYGON((0 0,0 40,40 40,40 0,0 0),(10 10,30 10,30 30,10 30,10 10)); POLYGON((5 15,5 30,30 15,5 15)); 1; 67.5000; 1; 67.5; 1; 67.5; 0; 0; OK
case_96_intersection; POLYGON((0 0,0 40,40 40,40 0,20 0,0 0),(10 10,20 0,30 10,30 30,10 30,10 10)); POLYGON((10 10,10 30,30 30,30 10,10 10)); 0; 0; 0; 0; 0; 0; 0; 0; OK
case_97_intersection; POLYGON((0 5,-6 -17,12 17,0 5),(4 6,5 5,0 1,4 6)); POLYGON((3 9,-15 -5,13 -11,3 9)); 1; 54.7013; 1; 54.7013; 1; 54.7013; 0; 1.14133e-14; OK
case_98_intersection; POLYGON((5 6,-15 -13,1 -8,5 6)); POLYGON((0 8,-19 6,18 -17,20 8,11 17,0 8),(3 2,3 -1,1 0,3 2),(1 3,4 4,0 -1,1 3)); 1; 35.9334; 1; 35.9334; 1; 35.9334; 0; 8.97808e-15; OK
case_99_intersection; POLYGON((0 0,0 40,40 40,40 0,0 0),(10 10,20 19,20 20,10 10),(20 20,30 30,20 21,20 20)); POLYGON((10 10,10 30,30 30,30 10,10 10)); 1; 390.; 1; 390; 2; 390; 0; 0; OK
case_100_intersection; POLYGON((2 1,4 1,4 3,2 3,2 1),(3 1.5,4 3,2.5 2.5,3 1.5)); POLYGON((4 0,8 0,8 4,4 4,4 0)); 0; 0; 0; 0; 0; 0; 0; 0; OK
